"number","title","head_branch","base_branch","author","lp_label","state_label","created_at","updated_at","url"
463,"LP-deploy-authority-model-001: Add Deploy Authority Model and Copilot Execution Constraints","LP-deploy-authority-model-001","aoss-main","twgallo13","MISSING","state:in-progress","2026-01-08T19:57:52Z","2026-01-08T20:01:25Z","https://github.com/twgallo13/ROPI-V2.1/pull/463"
458,"LP-export-global-impl-2b: Implement productLevelReadiness (UI)","fix/export-global-ui-phase2-2026-01-07","aoss-main","twgallo13","MISSING","MISSING","2026-01-07T02:55:52Z","2026-01-07T03:18:18Z","https://github.com/twgallo13/ROPI-V2.1/pull/458"
444,"LP: LP-workflow-fix-#001 — Fix lp-lint and phase-readiness-check workflows","fix/workflow-lp-format-2026-01-05","aoss-main","twgallo13","lp:workflow-fix-001","state:in-progress","2026-01-05T07:59:21Z","2026-01-05T08:11:06Z","https://github.com/twgallo13/ROPI-V2.1/pull/444"
442,"ci: deploy Firestore rules to staging","homer/firestore-rules-staging-deploy","aoss-main","twgallo13","MISSING","MISSING","2026-01-04T13:02:16Z","2026-01-04T13:06:17Z","https://github.com/twgallo13/ROPI-V2.1/pull/442"
429,"feat: Completion Evaluation Engine (Pure Math + Scoring)","feat/completion-engine-clean","aoss-main","twgallo13","MISSING","MISSING","2026-01-03T13:13:27Z","2026-01-03T13:26:28Z","https://github.com/twgallo13/ROPI-V2.1/pull/429"
428,"feat: Completion Evaluation Engine (Pure Math + Scoring)","feat/completion-evaluation-engine","aoss-main","twgallo13","MISSING","MISSING","2026-01-03T12:57:24Z","2026-01-03T13:14:56Z","https://github.com/twgallo13/ROPI-V2.1/pull/428"
427,"feat: Complete Completion Model Implementation (Persistence + Evaluation Engine)","feat/completion-rules-persistence","aoss-main","twgallo13","MISSING","MISSING","2026-01-03T12:11:31Z","2026-01-03T12:56:22Z","https://github.com/twgallo13/ROPI-V2.1/pull/427"
426,"docs: Add authoritative Completion → Export Gate documentation","docs/completion-contract-authoritative","aoss-main","twgallo13","MISSING","MISSING","2026-01-03T09:59:46Z","2026-01-03T12:09:17Z","https://github.com/twgallo13/ROPI-V2.1/pull/426"
416,"chore(migration): remove legacy observations fallback and deprecated helpers","lp-remove-legacy-observations-fallback-1.0.0","aoss-main","twgallo13","MISSING","MISSING","2026-01-02T06:26:15Z","2026-01-02T06:29:01Z","https://github.com/twgallo13/ROPI-V2.1/pull/416"
404,"feat(observations): LP-1.2.0 inline tags-first Add/Edit UX (no navigation)","fix/obs-inline-add-1.2.0","aoss-main","twgallo13","MISSING","MISSING","2026-01-01T04:49:10Z","2026-01-01T04:53:44Z","https://github.com/twgallo13/ROPI-V2.1/pull/404"
403,"feat(observations): LP-observations-consolidation-1.1.0 - Mobile/Desktop parity","fix/obs-mobile-parity-1.1.0","aoss-main","twgallo13","MISSING","MISSING","2026-01-01T04:23:52Z","2026-01-01T04:28:06Z","https://github.com/twgallo13/ROPI-V2.1/pull/403"
402,"feat(LP-observations-consolidation-1.0.0): Make product.observation canonical SRoT","fix/obs-srot-1.0.0","aoss-main","twgallo13","MISSING","MISSING","2026-01-01T04:06:11Z","2026-01-01T04:10:14Z","https://github.com/twgallo13/ROPI-V2.1/pull/402"
388,"docs(deploy): document Google service account and attribute registry sync — LP-service-account-ropi-deploy-1.0.0","docs/service-account-ropi-deploy","aoss-main","twgallo13","lp:service-account-ropi-deploy-1.0.0","state:in-progress","2025-12-29T20:32:30Z","2025-12-29T20:38:52Z","https://github.com/twgallo13/ROPI-V2.1/pull/388"
385,"test(e2e): stabilize auth sign-in on preview URLs","lp/e2e-auth-stabilization-1.0","aoss-main","twgallo13","lp:product-ordering-import-completeness-0.1.0","MISSING","2025-12-29T10:02:50Z","2025-12-29T10:12:56Z","https://github.com/twgallo13/ROPI-V2.1/pull/385"
376,"LP-importer-mapping-recon-1.4.5 — canonicalize pricing.shipping and enable editability","lp/importer-mapping-recon/1.4.5-pricing-shipping-canonical","aoss-main","twgallo13","MISSING","MISSING","2025-12-29T04:08:41Z","2025-12-29T04:20:10Z","https://github.com/twgallo13/ROPI-V2.1/pull/376"
364,"LP-0.1.4 — cleanup: remove shiekhshoes.com from staging Firestore","lisa/cleanup-firestore-shiekhshoes-lp-0.1.4","aoss-main","twgallo13","lp:0.1.4","state:approved","2025-12-27T03:53:55Z","2025-12-27T13:18:28Z","https://github.com/twgallo13/ROPI-V2.1/pull/364"
351,"LP-1.3.6: Fix Department Filter Showing Gender Values","lisa/LP-1.3.6/fix-department-filter","aoss-main","twgallo13","MISSING","MISSING","2025-12-25T22:13:41Z","2025-12-25T22:19:18Z","https://github.com/twgallo13/ROPI-V2.1/pull/351"
345,"LP-1.3.1 — T1 follow-ups: image-handling refactor + accessibility tweaks","lisa/LP-1.3.1/t1-refactors-and-a11y","aoss-main","twgallo13","lp:1.3.1","state:planned","2025-12-24T22:37:18Z","2025-12-24T22:41:36Z","https://github.com/twgallo13/ROPI-V2.1/pull/345"
340,"LP-ATTR-1.3.0-FIX-REGISTRY-VALIDATION — registry-driven import required validation","lp/ATTR-1.3.0-fix-registry-validation","aoss-main","twgallo13","MISSING","MISSING","2025-12-24T09:07:34Z","2025-12-24T09:14:58Z","https://github.com/twgallo13/ROPI-V2.1/pull/340"
339,"LP-ATTR-1.3.2: Fix JSON parse errors on DELETE 204 with parseResponseSafely","lp-attr-1.3.2-parse-response-safely","aoss-main","twgallo13","MISSING","MISSING","2025-12-24T08:38:00Z","2025-12-24T08:44:36Z","https://github.com/twgallo13/ROPI-V2.1/pull/339"
336,"feat(web): LP-3.0.11 - Audit & add defensive logging to attribute create/save flow","lp/3.0.11-attribute-create-save-audit","aoss-main","twgallo13","MISSING","MISSING","2025-12-23T02:19:04Z","2025-12-23T02:23:31Z","https://github.com/twgallo13/ROPI-V2.1/pull/336"
