"number","title","labels","assignees","created_at","updated_at","comments_count","url"
455,"LP-export-global-impl-1.0.0: Phase 1 API Contract Extension","state:in-progress;type:fix;cleanup:required;lp:LP-export-global-impl-1.0.0;priority:P0","","2026-01-07T00:51:39Z","2026-01-07T00:51:39Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/455"
421,"API: Fix audit event schema to avoid undefined reason causing Firestore writes to fail","","","2026-01-03T01:19:20Z","2026-01-03T01:19:20Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/421"
420,"SDK: Fix domain validation test failure (phase2_domain_validation.test.ts)","","","2026-01-03T01:19:05Z","2026-01-03T01:19:05Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/420"
257,"Attribute: Staging Unknowns — 2025-12-10 (soak 15d)","audit;attributes;staging;soak:15d","","2025-12-11T01:21:33Z","2025-12-11T10:17:14Z",5,"https://github.com/twgallo13/ROPI-V2.1/issues/257"
233,"Announcement: Release aoss.v0.6.1 — Admin Settings UI","documentation","","2025-12-08T19:26:41Z","2025-12-08T19:26:41Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/233"
232,"E2E Stability & Flakiness Monitoring (Admin Settings)","enhancement","twgallo13","2025-12-08T19:25:54Z","2025-12-08T19:25:54Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/232"
231,"Implement AITemplate backend & API (Admin Settings)","enhancement","twgallo13","2025-12-08T19:25:33Z","2025-12-08T19:25:33Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/231"
230,"Implement SmartRules backend & API (Admin Settings)","enhancement","twgallo13","2025-12-08T19:25:17Z","2025-12-08T19:25:17Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/230"
229,"Post-release: aoss.v0.6.1 — Admin Settings (monitoring & handoff)","release","twgallo13","2025-12-08T19:24:56Z","2025-12-08T19:24:56Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/229"
222,"Remediate E2E failures for Admin Attribute Management (PR #221) — Lisa v0.2.0","","","2025-12-07T23:48:30Z","2025-12-07T23:48:30Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/222"
213,"Stale branch: fix/set-admin-decode_PROMPT_019A_v1.8","stale","","2025-12-07T08:08:14Z","2025-12-07T08:08:14Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/213"
212,"Stale branch: fix/build-output_PROMPT_018C_vA","stale","","2025-12-07T08:08:12Z","2025-12-07T08:08:12Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/212"
211,"Stale branch: feature/aoss-iam-launchsignup_PROMPT_018C_vB","stale","","2025-12-07T08:08:11Z","2025-12-07T08:08:11Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/211"
210,"Stale branch: ci/e2e-monitoring_PROMPT_018C_vC","stale","","2025-12-07T08:08:09Z","2025-12-07T08:08:09Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/210"
209,"Stale branch: feature/import-manager-ui_PROMPT_019A_vB","stale","","2025-12-07T08:08:07Z","2025-12-07T08:08:07Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/209"
208,"Stale branch: fix/018c_conflict_hotfix","stale","","2025-12-07T08:08:06Z","2025-12-07T08:08:06Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/208"
207,"Stale branch: feature/import-w2-export-bridge_PROMPT_019A_vC","stale","","2025-12-07T08:08:04Z","2025-12-07T08:08:04Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/207"
206,"Stale branch: feature/aoss-monorepo-scaffold-v0-1-0","stale","","2025-12-07T08:08:03Z","2025-12-07T08:08:03Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/206"
205,"Stale branch: feature/ci-sa-test-trigger-v0-4-1","stale","","2025-12-07T08:08:01Z","2025-12-07T08:08:01Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/205"
204,"Stale branch: feature/aoss-staging-hosting-v0-2-1","stale","","2025-12-07T08:07:59Z","2025-12-07T08:07:59Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/204"
203,"Stale branch: feature/aoss-frontend-nav-v1-0","stale","","2025-12-07T08:07:57Z","2025-12-07T08:07:57Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/203"
202,"Stale branch: feature/aoss-repo-audit-v1-1","stale","","2025-12-07T08:07:56Z","2025-12-07T08:07:56Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/202"
201,"Stale branch: feature/aoss-pr-monitor-v1-0","stale","","2025-12-07T08:07:54Z","2025-12-07T08:07:54Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/201"
200,"Stale branch: chore/fix-deploy-public-path-v1-0","stale","","2025-12-07T08:07:52Z","2025-12-07T08:07:52Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/200"
199,"Stale branch: feature/aoss-product-editor-layout-v1-1","stale","","2025-12-07T08:07:51Z","2025-12-07T08:07:51Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/199"
198,"Stale branch: feature/aoss-observations-firestore-v1-0-backup-20251202-1346","stale","","2025-12-07T08:07:49Z","2025-12-07T08:07:49Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/198"
197,"Stale branch: feature/aoss-observations-firestore-v1-0","stale","","2025-12-07T08:07:48Z","2025-12-07T08:07:48Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/197"
196,"Stale branch: feature/aoss-observations-wire-product-editor-v1-0","stale","","2025-12-07T08:07:46Z","2025-12-07T08:07:46Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/196"
195,"Stale branch: feature/aoss-firestore-rules-v1-0","stale","","2025-12-07T08:07:44Z","2025-12-07T08:07:44Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/195"
194,"Stale branch: fix/preview-deploy-option-a_PROMPT_018B_v1.1","stale","","2025-12-07T08:07:42Z","2025-12-07T08:07:42Z",0,"https://github.com/twgallo13/ROPI-V2.1/issues/194"
